#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.3000              0.0000              0.0300            140.2656
              0.0012              0.3250              0.0000              0.0300            119.7831
              0.0012              0.3500              0.0000              0.0300            106.5834
              0.0012              0.3750              0.0000              0.0300             99.1737
              0.0012              0.4000              0.0000              0.0300             96.0539
              0.0012              0.4250              0.0000              0.0300             95.7994
              0.0012              0.4500              0.0000              0.0300             97.1469
              0.0012              0.4750              0.0000              0.0300             99.0725
              0.0012              0.5000              0.0000              0.0300            100.8587
              0.0012              0.5250              0.0000              0.0300            102.1421
              0.0012              0.5500              0.0000              0.0300            102.9360
              0.0012              0.5750              0.0000              0.0300            103.6257
              0.0012              0.6000              0.0000              0.0300            104.9378
              0.0012              0.6250              0.0000              0.0300            107.8857
              0.0012              0.6500              0.0000              0.0300            113.6987
              0.0012              0.6750              0.0000              0.0300            123.7425
              0.0012              0.7000              0.0000              0.0300            139.4346
              0.0012              0.7250              0.0000              0.0300            162.1691
              0.0012              0.7500              0.0000              0.0300            193.2365
              0.0012              0.7750              0.0000              0.0300            233.7927
              0.0012              0.3000              0.0000              0.0350            143.7947
              0.0012              0.3250              0.0000              0.0350            123.0233
              0.0012              0.3500              0.0000              0.0350            109.5749
              0.0012              0.3750              0.0000              0.0350            101.9564
              0.0012              0.4000              0.0000              0.0350             98.6684
              0.0012              0.4250              0.0000              0.0350             98.2849
              0.0012              0.4500              0.0000              0.0350             99.5372
              0.0012              0.4750              0.0000              0.0350            101.3925
              0.0012              0.5000              0.0000              0.0350            103.1206
              0.0012              0.5250              0.0000              0.0350            104.3419
              0.0012              0.5500              0.0000              0.0350            105.0509
              0.0012              0.5750              0.0000              0.0350            105.6121
              0.0012              0.6000              0.0000              0.0350            106.7308
              0.0012              0.6250              0.0000              0.0350            109.3999
              0.0012              0.6500              0.0000              0.0350            114.8300
              0.0012              0.6750              0.0000              0.0350            124.3707
              0.0012              0.7000              0.0000              0.0350            139.4274
              0.0012              0.7250              0.0000              0.0350            161.3858
              0.0012              0.7500              0.0000              0.0350            191.5325
              0.0012              0.7750              0.0000              0.0350            231.0234
              0.0012              0.3000              0.0000              0.0400            147.3295
              0.0012              0.3250              0.0000              0.0400            126.2783
              0.0012              0.3500              0.0000              0.0400            112.5783
              0.0012              0.3750              0.0000              0.0400            104.7415
              0.0012              0.4000              0.0000              0.0400            101.2701
              0.0012              0.4250              0.0000              0.0400            100.7369
              0.0012              0.4500              0.0000              0.0400            101.8694
