#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.3250              0.0000              0.0300            152.3233
              0.0012              0.3500              0.0000              0.0300            134.3080
              0.0012              0.3750              0.0000              0.0300            123.0241
              0.0012              0.4000              0.0000              0.0300            117.0387
              0.0012              0.4250              0.0000              0.0300            114.9346
              0.0012              0.4500              0.0000              0.0300            115.3860
              0.0012              0.4750              0.0000              0.0300            117.2372
              0.0012              0.5000              0.0000              0.0300            119.5738
              0.0012              0.5250              0.0000              0.0300            121.7820
              0.0012              0.5500              0.0000              0.0300            123.5870
              0.0012              0.5750              0.0000              0.0300            125.0693
              0.0012              0.6000              0.0000              0.0300            126.6547
              0.0012              0.6250              0.0000              0.0300            129.0817
              0.0012              0.6500              0.0000              0.0300            133.3473
              0.0012              0.6750              0.0000              0.0300            140.6410
              0.0012              0.7000              0.0000              0.0300            152.2690
              0.0012              0.7250              0.0000              0.0300            169.5792
              0.0012              0.7500              0.0000              0.0300            193.8893
              0.0012              0.7750              0.0000              0.0300            226.4313
              0.0012              0.3000              0.0000              0.0350            185.0344
              0.0012              0.3250              0.0000              0.0350            158.1715
              0.0012              0.3500              0.0000              0.0350            139.4938
              0.0012              0.3750              0.0000              0.0350            127.6379
              0.0012              0.4000              0.0000              0.0350            121.1809
              0.0012              0.4250              0.0000              0.0350            118.7073
              0.0012              0.4500              0.0000              0.0350            118.8870
              0.0012              0.4750              0.0000              0.0350            120.5518
              0.0012              0.5000              0.0000              0.0350            122.7678
              0.0012              0.5250              0.0000              0.0350            124.8941
              0.0012              0.5500              0.0000              0.0350            126.6238
              0.0012              0.5750              0.0000              0.0350            128.0014
              0.0012              0.6000              0.0000              0.0350            129.4158
              0.0012              0.6250              0.0000              0.0350            131.5695
              0.0012              0.6500              0.0000              0.0350            135.4275
              0.0012              0.6750              0.0000              0.0350            142.1521
              0.0012              0.7000              0.0000              0.0350            153.0296
              0.0012              0.7250              0.0000              0.0350            169.3955
              0.0012              0.7500              0.0000              0.0350            192.5627
              0.0012              0.7750              0.0000              0.0350            223.7666
              0.0012              0.3000              0.0000              0.0400            191.4582
              0.0012              0.3250              0.0000              0.0400            163.9195
              0.0012              0.3500              0.0000              0.0400            144.6256
              0.0012              0.3750              0.0000              0.0400            132.2258
              0.0012              0.4000              0.0000              0.0400            125.3050
              0.0012              0.4250              0.0000              0.0400            122.4511
              0.0012              0.4500              0.0000              0.0400            122.3306
              0.0012              0.4750              0.0000              0.0400            123.7660
              0.0012              0.5000              0.0000              0.0400            125.8071
              0.0012              0.5250              0.0000              0.0400            127.7907
              0.0012              0.5500              0.0000              0.0400            129.3827
              0.0012              0.5750              0.0000              0.0400            130.5972
              0.0012              0.6000              0.0000              0.0400            131.7915
              0.0012              0.6250              0.0000              0.0400            133.6378
