#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0013              0.4875              0.0000              0.0220             73.6042
              0.0013              0.5000              0.0000              0.0220             74.4003
              0.0013              0.5125              0.0000              0.0220             75.1186
              0.0013              0.5250              0.0000              0.0220             75.7531
              0.0013              0.5375              0.0000              0.0220             76.3215
              0.0013              0.5500              0.0000              0.0220             76.8648
              0.0013              0.5625              0.0000              0.0220             77.4466
              0.0013              0.5750              0.0000              0.0220             78.1515
              0.0013              0.5875              0.0000              0.0220             79.0839
              0.0013              0.6000              0.0000              0.0220             80.3661
              0.0013              0.6125              0.0000              0.0220             82.1357
              0.0013              0.6250              0.0000              0.0220             84.5438
              0.0013              0.6375              0.0000              0.0220             87.7519
              0.0013              0.6500              0.0000              0.0220             91.9300
              0.0013              0.6625              0.0000              0.0220             97.2534
              0.0013              0.6750              0.0000              0.0220            103.9002
              0.0013              0.6875              0.0000              0.0220            112.0490
              0.0013              0.7000              0.0000              0.0220            121.8760
              0.0013              0.7125              0.0000              0.0220            133.5535
              0.0013              0.7250              0.0000              0.0220            147.2488
              0.0014              0.3000              0.0000              0.0220            104.8782
              0.0014              0.3125              0.0000              0.0220             92.7376
              0.0014              0.3250              0.0000              0.0220             82.6225
              0.0014              0.3375              0.0000              0.0220             74.3477
              0.0014              0.3500              0.0000              0.0220             67.7387
              0.0014              0.3625              0.0000              0.0220             62.6092
              0.0014              0.3750              0.0000              0.0220             58.7744
              0.0014              0.3875              0.0000              0.0220             56.0523
              0.0014              0.4000              0.0000              0.0220             54.2654
              0.0014              0.4125              0.0000              0.0220             53.2442
              0.0014              0.4250              0.0000              0.0220             52.8286
              0.0014              0.4375              0.0000              0.0220             52.8720
              0.0014              0.4500              0.0000              0.0220             53.2428
              0.0014              0.4625              0.0000              0.0220             53.8263
              0.0014              0.4750              0.0000              0.0220             54.5273
              0.0014              0.4875              0.0000              0.0220             55.2712
              0.0014              0.5000              0.0000              0.0220             56.0058
              0.0014              0.5125              0.0000              0.0220             56.7014
